x,absent,absent_Excused,absent_Unexcused,tardy,tardy_Excused,tardy_Unexcused,present
'2022-09-06',27,11,16,0,0,0,248
'2022-09-07',19,7,12,1,0,1,238
'2022-09-08',17,5,12,30,1,28,215
'2022-09-09',20,9,11,31,3,28,212
'2022-09-12',20,12,8,34,3,31,214
'2022-09-13',0,0,0,0,0,0,0
'2022-09-14',17,7,10,19,1,16,227
'2022-09-15',22,10,12,28,3,22,213
'2022-09-16',23,11,12,30,1,24,210
'2022-09-19',18,11,7,35,3,31,211
'2022-09-20',26,19,7,28,3,24,210
'2022-09-21',28,19,9,27,5,22,210
'2022-09-22',30,18,12,30,5,24,205
'2022-09-23',45,28,17,20,3,16,205
'2022-09-26',36,28,8,34,4,29,195
'2022-09-27',38,25,13,36,3,32,191
